time,dz
10625,0.00353553
10629,0.00355326
10634,0.00357529
10638,0.00359282
10643,0.00361459
10647,0.00363191
10652,0.00365343
10656,0.00367055
10661,0.00369181
10665,0.00370871
10670,0.00372971
10674,0.0037464
10679,0.00376713
10683,0.00378361
10688,0.00380407
10692,0.00382033
10697,0.00384052
10701,0.00385657
10706,0.00387649
10710,0.00389231
10715,0.00391195
10720,0.00393144
10724,0.00394692
10729,0.00396613
10733,0.00398138
10738,0.00400031
10742,0.00401534
10747,0.00403398
10751,0.00404877
10756,0.00406713
10760,0.0040817
10764,0.00409616
10768,0.00411052
10773,0.00412833
10777,0.00414245
10781,0.00415648
10786,0.00417385
10790,0.00418764
10794,0.00420132
10798,0.00421489
10803,0.00423171
10807,0.00424504
10811,0.00425827
10815,0.00427139
10820,0.00428763
10824,0.00430051
10828,0.00431327
10832,0.00432593
10837,0.0043416
10841,0.00435401
10845,0.00436631
10850,0.00438153
10854,0.00439359
10859,0.0044085
10863,0.0044203
10868,0.00443489
10872,0.00444644
10877,0.00446072
10881,0.00447202
10886,0.00448598
10891,0.00449977
10895,0.00451067
10900,0.00452414
10904,0.00453478
10909,0.00454792
10914,0.00456089
10918,0.00457113
10923,0.00458377
10927,0.00459375
10932,0.00460606
10936,0.00461578
10941,0.00462777
10946,0.00463957
10950,0.00464888
10955,0.00466036
10959,0.0046694
10964,0.00468054
10968,0.00468932
10973,0.00470013
10977,0.00470865
10981,0.00471704
10986,0.00472737
10990,0.00473549
10994,0.0047435
10999,0.00475334
11003,0.00476107
11007,0.00476869
11011,0.00477619
11016,0.00478539
11020,0.00479261
11024,0.00479971
11029,0.00480842
11033,0.00481525
11037,0.00482196
11042,0.00483017
11046,0.0048366
11051,0.00484447
11055,0.00485063
11059,0.00485667
11064,0.00486404
11068,0.0048698
11073,0.00487683
11077,0.00488231
11082,0.00488899
11086,0.00489419
11091,0.00490053
11096,0.00490666
11100,0.00491144
11105,0.00491723
11109,0.00492172
11114,0.00492716
11118,0.00493137
11123,0.00493646
11127,0.00494039
11132,0.00494513
11136,0.00494878
11141,0.00495317
11146,0.00495736
11150,0.00496057
11155,0.00496441
11159,0.00496734
11164,0.00497083
11168,0.00497348
11173,0.00497661
11177,0.00497898
11182,0.00498176
11186,0.00498384
11191,0.00498626
11195,0.00498806
11200,0.00499013
11204,0.00499165
11209,0.00499337
11213,0.0049946
11218,0.00499596
11222,0.00499691
11227,0.00499791
11231,0.00499857
11236,0.00499923
11241,0.00499968
11245,0.0049999
11250,0.005
11254,0.00499994
11258,0.00499975
11263,0.00499933
11267,0.00499886
11271,0.00499826
11276,0.00499733
11280,0.00499645
11284,0.00499544
11288,0.0049943
11293,0.0049927
11297,0.00499128
11301,0.00498974
11305,0.00498806
11310,0.00498579
11315,0.00498333
11319,0.00498122
11324,0.0049784
11328,0.004976
11333,0.00497283
11338,0.00496946
11342,0.00496662
11347,0.0049629
11351,0.00495978
11356,0.00495571
11360,0.00495231
11365,0.00494788
11369,0.0049442
11374,0.00493942
11379,0.00493445
11383,0.00493033
11388,0.00492501
11392,0.00492061
11397,0.00491493
11401,0.00491026
11406,0.00490423
11410,0.00489928
11415,0.0048929
11419,0.00488767
11424,0.00488095
11428,0.00487544
11433,0.00486837
11437,0.00486258
11442,0.00485517
11446,0.0048491
11451,0.00484135
11455,0.00483501
11460,0.00482691
11464,0.00482029
11469,0.00481185
11473,0.00480496
11478,0.00479618
11482,0.00478901
11486,0.00478173
11491,0.00477245
11495,0.0047649
11499,0.00475722
11504,0.00474746
11508,0.00473951
11512,0.00473144
11516,0.00472326
11521,0.00471286
11525,0.0047044
11529,0.00469583
11533,0.00468714
11538,0.00467611
11542,0.00466715
11546,0.00465808
11551,0.00464657
11555,0.00463723
11559,0.00462777
11564,0.00461578
11568,0.00460606
11573,0.00459375
11577,0.00458377
11581,0.00457367
11586,0.00456089
11590,0.00455053
11594,0.00454006
11599,0.00452681
11603,0.00451608
11608,0.00450251
11612,0.00449152
11616,0.00448042
11621,0.00446639
11625,0.00445503
11629,0.00444357
11634,0.00442908
11638,0.00441736
11643,0.00440255
11647,0.00439058
11651,0.0043785
11656,0.00436325
11660,0.00435092
11664,0.00433848
11669,0.00432278
11673,0.00431009
11677,0.0042973
11682,0.00428116
11686,0.00426812
11690,0.00425497
11695,0.00423839
11699,0.004225
11703,0.00421151
11708,0.00419449
11712,0.00418076
11716,0.00416692
11720,0.00415298
11725,0.0041354
11729,0.00412122
11734,0.00410335
11738,0.00408894
11743,0.00407078
11747,0.00405614
11752,0.00403769
11756,0.00402281
11761,0.00400408
11766,0.00398518
11770,0.00396995
11775,0.00395078
11779,0.00393532
11784,0.00391586
11789,0.00389625
11793,0.00388045
11798,0.00386056
11802,0.00384454
11806,0.00382843
11811,0.00380814
11816,0.00378771
11820,0.00377126
11825,0.00375056
11829,0.00373389
11834,0.00371292
11838,0.00369604
11843,0.00367481
11848,0.00365343
11852,0.00363623
11857,0.00361459
11861,0.00359718
11866,0.00357529
11870,0.00355768
11875,0.00353553
11879,0.00351772
11883,0.00349981
11888,0.00347731
11892,0.0034592
11896,0.00344101
11900,0.00342274
11905,0.00339977
11909,0.0033813
11913,0.00336274
11917,0.0033441
11922,0.00332068
11926,0.00330184
11931,0.00327819
11935,0.00325917
11940,0.00323528
11944,0.00321608
11949,0.00319196
11954,0.00316771
11958,0.00314823
11963,0.00312376
11967,0.0031041
11972,0.00307941
11976,0.00305957
11981,0.00303466
11985,0.00301465
11990,0.00298952
11994,0.00296934
11999,0.00294401
12003,0.00292366
12008,0.00289811
12012,0.0028776
12017,0.00285185
12021,0.00283117
12026,0.00280522
12030,0.00278438
12035,0.00275823
12039,0.00273723
12044,0.00271089
12048,0.00268974
12053,0.0026632
12058,0.00263656
12062,0.00261517
12067,0.00258834
12071,0.00256681
12076,0.0025398
12080,0.00251812
12085,0.00249093
12089,0.0024691
12093,0.00244722
12098,0.00241977
12102,0.00239775
12106,0.00237566
12110,0.00235352
12115,0.00232576
12119,0.00230348
12123,0.00228114
12127,0.00225875
12132,0.00223068
12136,0.00220816
12140,0.00218558
12144,0.00216295
12149,0.00213458
12153,0.00211183
12157,0.00208902
12162,0.00206043
12166,0.00203751
12170,0.00201453
12175,0.00198574
12179,0.00196265
12183,0.00193951
12188,0.00191051
12192,0.00188726
12197,0.00185814
12201,0.00183478
12206,0.00180552
12210,0.00178206
12215,0.00175267
12219,0.00172911
12224,0.0016996
12228,0.00167594
12233,0.00164631
12237,0.00162256
12242,0.00159281
12247,0.001563
12251,0.00153911
12256,0.00150919
12260,0.00148521
12265,0.00145518
12269,0.00143112
12274,0.00140099
12279,0.0013708
12283,0.00134662
12287,0.0013224
12292,0.00129207
12296,0.00126778
12301,0.00123736
12305,0.001213
12309,0.0011886
12314,0.00115806
12318,0.0011336
12322,0.0011091
12326,0.00108458
12331,0.00105389
12335,0.00102931
12339,0.00100471
12343,0.000980073
12348,0.000949247
12352,0.00092456
12356,0.000899849
12360,0.000875115
12365,0.000844167
12369,0.000819385
12373,0.000794581
12378,0.000763549
12382,0.000738702
12386,0.000713836
12391,0.000682728
12395,0.000657822
12399,0.000632899
12404,0.000601724
12408,0.000576766
12413,0.000545549
12418,0.00051431
12422,0.000489304
12427,0.000458029
12431,0.000432997
12436,0.000401691
12440,0.000376634
12445,0.0003453
12449,0.000320223
12454,0.000288866
12459,0.000257497
12463,0.000232394
12468,0.000201008
12472,0.000175893
12477,0.000144493
12482,0.000113088
12486,8.79601e-05
12491,5.65475e-05
12495,3.14157e-05
12500,3.06162e-18
12505,-3.14157e-05
12509,-5.65475e-05
12513,-8.16778e-05
12518,-0.000113088
12522,-0.000138212
12526,-0.000163334
12530,-0.000188451
12535,-0.000219841
12539,-0.000244946
12543,-0.000270046
12548,-0.00030141
12552,-0.000326493
12556,-0.000351568
12561,-0.000382899
12565,-0.000407953
12570,-0.000439256
12574,-0.000464286
12578,-0.000489304
12583,-0.000520559
12587,-0.000545549
12592,-0.000576766
12596,-0.000601724
12601,-0.000632899
12606,-0.00066405
12610,-0.000688951
12615,-0.000720054
12620,-0.000751128
12624,-0.000775966
12629,-0.000806986
12633,-0.000831779
12638,-0.00086274
12642,-0.000887485
12647,-0.000918384
12651,-0.000943078
12656,-0.000973911
12660,-0.00099855
12665,-0.00102931
12669,-0.00105389
12674,-0.00108458
12679,-0.00111523
12683,-0.00113972
12688,-0.00117028
12692,-0.0011947
12696,-0.00121909
12700,-0.00124345
12705,-0.00127385
12709,-0.00129814
12713,-0.0013224
12718,-0.00135267
12722,-0.00137684
12726,-0.00140099
12731,-0.00143112
12735,-0.00145518
12739,-0.00147921
12743,-0.0015032
12748,-0.00153313
12752,-0.00155703
12756,-0.00158089
12761,-0.00161067
12765,-0.00163444
12769,-0.00165817
12774,-0.00168778
12778,-0.00171141
12782,-0.00173501
12787,-0.00176444
12791,-0.00178793
12796,-0.00181723
12800,-0.00184062
12805,-0.0018698
12810,-0.0018989
12814,-0.00192212
12819,-0.00195108
12823,-0.0019742
12828,-0.00200302
12832,-0.00202603
12837,-0.00205471
12841,-0.00207759
12846,-0.00210613
12850,-0.0021289
12855,-0.00215728
12859,-0.00217993
12864,-0.00220816
12868,-0.00223068
12873,-0.00225875
12877,-0.00228114
12882,-0.00230905
12886,-0.00233132
12891,-0.00235906
12895,-0.00238119
12900,-0.00240877
12904,-0.00243076
12909,-0.00245817
12913,-0.00248002
12918,-0.00250725
12922,-0.00252896
12926,-0.00255061
12930,-0.0025722
12935,-0.00259909
12939,-0.00262052
12943,-0.0026419
12948,-0.00266852
12952,-0.00268974
12956,-0.00271089
12960,-0.00273197
12965,-0.00275823
12969,-0.00277916
12973,-0.00280001
12978,-0.00282599
12982,-0.00284668
12986,-0.00286731
12990,-0.00288786
12995,-0.00291345
12999,-0.00293384
13003,-0.00295415
13008,-0.00297944
13012,-0.00299959
13017,-0.00302466
13021,-0.00304464
13026,-0.0030695
13030,-0.0030893
13035,-0.00311394
13039,-0.00313356
13044,-0.00315798
13048,-0.00317743
13053,-0.00320162
13057,-0.00322089
13062,-0.00324485
13067,-0.00326869
13071,-0.00328767
13076,-0.00331127
13080,-0.00333006
13085,-0.00335343
13089,-0.00337203
13094,-0.00339516
13098,-0.00341356
13103,-0.00343645
13107,-0.00345466
13112,-0.00347731
13117,-0.00349981
13121,-0.00351772
13126,-0.00353997
13130,-0.00355768
13135,-0.00357968
13139,-0.00359718
13144,-0.00361893
13149,-0.00364054
13153,-0.00365772
13158,-0.00367907
13162,-0.00369604
13167,-0.00371713
13171,-0.00373389
13176,-0.00375471
13180,-0.00377126
13185,-0.00379181
13189,-0.00380814
13194,-0.00382843
13198,-0.00384454
13203,-0.00386455
13207,-0.00388045
13212,-0.00390019
13216,-0.00391586
13220,-0.00393144
13225,-0.00395078
13229,-0.00396613
13233,-0.00398138
13237,-0.00399654
13242,-0.00401534
13246,-0.00403026
13250,-0.00404508
13254,-0.00405981
13259,-0.00407806
13263,-0.00409255
13267,-0.00410694
13271,-0.00412122
13276,-0.00413893
13280,-0.00415298
13284,-0.00416692
13289,-0.0041842
13293,-0.00419791
13297,-0.00421151
13302,-0.00422836
13306,-0.00424172
13311,-0.00425827
13315,-0.00427139
13320,-0.00428763
13324,-0.00430051
13329,-0.00431645
13333,-0.00432908
13338,-0.00434471
13342,-0.0043571
13347,-0.00437242
13351,-0.00438456
13356,-0.00439957
13360,-0.00441146
13365,-0.00442616
13369,-0.00443779
13374,-0.00445218
13378,-0.00446356
13383,-0.00447763
13388,-0.00449152
13392,-0.00450251
13396,-0.00451338
13401,-0.00452681
13406,-0.00454006
13410,-0.00455053
13415,-0.00456346
13419,-0.00457367
13424,-0.00458627
13428,-0.00459623
13433,-0.0046085
13438,-0.0046206
13442,-0.00463014
13446,-0.00463957
13451,-0.00465119
13455,-0.00466036
13460,-0.00467164
13464,-0.00468054
13468,-0.00468932
13473,-0.00470013
13477,-0.00470865
13482,-0.00471912
13486,-0.00472737
13490,-0.00473549
13495,-0.00474548
13500,-0.00475528
13504,-0.00476299
13509,-0.00477245
13513,-0.00477989
13518,-0.00478901
13522,-0.00479618
13527,-0.00480496
13531,-0.00481185
13536,-0.00482029
13541,-0.00482854
13545,-0.00483501
13550,-0.00484292
13554,-0.0048491
13559,-0.00485667
13563,-0.00486258
